SEQUENCIA_COLIGACAO,DATA_GERACAO,HORA_GERACAO,ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NOME_UE,CODIGO_CARGO,DESCRICAO_CARGO,TIPO_LEGENDA,NUM_PARTIDO,SIGLA_PARTIDO2,NOME_PARTIDO,SIGLA_COLIGACAO,NOME_COLIGACAO,COMPOSICAO_COLIGACAO,SIGLA_PARTIDO
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,19,PTN,PARTIDO TRABALHISTA NACIONAL,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AL,AL,ALAGOAS,10,2º SUPLENTE SENADOR,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,3,GOVERNADOR,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,3,GOVERNADOR,PARTIDO ISOLADO,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,3,GOVERNADOR,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:30,2006,1,ELEICOES 2006,AM,AM,AMAZONAS,4,VICE-GOVERNADOR,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NE#,#NE#,#NE#,#NE#
